QBfffffffffff	TimeUS	Health	D0	D45	D90	D135	D180	D225	D270	D315	DUp	CAn	CDis
PRX	54302520	2	7.99	0	11.95	0	25.99	0	5.1	0	0	270	5.1
PRX	54402500	2	7.2	0	11.71	0	25.99	0	5.11	0	0	270	5.11
PRX	54502633	2	6.49	0	11.63	0	25.99	0	5.15	0	0	270	5.15
PRX	54602579	2	5.29	0	11.38	0	25.99	0	5.35	0	0	0	5.29
PRX	54702463	2	4.7	0	10.93	0	25.99	0	5.6	0	0	0	4.7
PRX	54802461	2	4	0	10.62	0	25.99	0	6.08	0	0	0	4
PRX	54902437	2	3.53	0	10.45	0	25.99	0	6.37	0	0	0	3.53
PRX	55002479	2	3.2	0	9.99	0	25.99	0	11.64	0	0	0	3.2
PRX	55102365	2	3.06	0	9.59	0	25.99	0	8.39	0	0	0	3.06
PRX	55202346	2	2.98	0	9.13	0	25.99	0	7.85	0	0	0	2.98
PRX	55302437	2	2.97	0	8.78	0	25.99	0	11.87	0	0	0	2.97
PRX	55402363	2	2.97	0	8.2	0	25.99	0	8.95	0	0	0	2.97
PRX	55502465	2	3.29	0	7.9	0	25.99	0	21.73	0	0	0	3.29
PRX	55602963	2	3.72	0	7.55	0	25.99	0	23.34	0	0	0	3.72
PRX	55702514	2	4.23	0	7.33	0	25.99	0	25.33	0	0	0	4.23
PRX	55802368	2	4.73	0	7.19	0	25.99	0	25.83	0	0	0	4.73
PRX	55902469	2	5.29	0	7.03	0	25.99	0	13.46	0	0	0	5.29
PRX	56002522	2	5.92	0	6.89	0	25.99	0	22.86	0	0	0	5.92
PRX	56102471	2	6.56	0	6.81	0	25.99	0	17.09	0	0	0	6.56
PRX	56202454	2	7.56	0	6.86	0	25.99	0	13.58	0	0	90	6.86
PRX	56302466	2	8.25	0	7.05	0	25.99	0	22.89	0	0	90	7.05
PRX	56402421	2	8.85	0	7.08	0	25.99	0	25.61	0	0	90	7.08
PRX	56502439	2	9.6	0	16.57	0	25.99	0	25.9	0	0	0	9.6
PRX	56602450	2	10.13	0	23.64	0	23.37	0	21.77	0	0	0	10.13
PRX	56702370	2	10.65	0	25.41	0	25.34	0	24.94	0	0	0	10.65
PRX	56802654	2	11.08	0	25.85	0	25.83	0	19.46	0	0	0	11.08
PRX	56902355	2	11.56	0	25.96	0	25.95	0	24.36	0	0	0	11.56
PRX	57002493	2	11.83	0	25.99	0	25.98	0	21.05	0	0	0	11.83
PRX	57102409	2	11.94	0	25.99	0	25.99	0	16.05	0	0	0	11.94
PRX	57202360	2	11.88	0	25.99	0	25.99	0	14.35	0	0	0	11.88
PRX	57302500	2	11.75	0	25.99	0	25.99	0	18.47	0	0	0	11.75
PRX	57402494	2	11.41	0	25.99	0	25.99	0	9.92	0	0	270	9.92
PRX	57502538	2	10.99	0	25.99	0	25.99	0	7.57	0	0	270	7.57
PRX	57602430	2	10.7	0	25.99	0	25.99	0	7	0	0	270	7
PRX	57702456	2	10.03	0	25.99	0	25.99	0	6.88	0	0	270	6.88
PRX	57802481	2	9.5	0	14.08	0	25.99	0	6.85	0	0	270	6.85
PRX	57902457	2	8.89	0	11.08	0	25.99	0	6.9	0	0	270	6.9
PRX	58002528	2	8.41	0	10.25	0	25.99	0	6.99	0	0	270	6.99
PRX	58102451	2	7.92	0	18.03	0	25.99	0	7.23	0	0	270	7.23
PRX	58202346	2	7.46	0	11.65	0	25.99	0	7.46	0	0	0	7.46
PRX	58302485	2	6.98	0	9.75	0	25.99	0	7.74	0	0	0	6.98
PRX	58402484	2	6.56	0	13.31	0	25.99	0	8.08	0	0	0	6.56
PRX	58502481	2	5.81	0	8.9	0	25.99	0	8.43	0	0	0	5.81
PRX	58602685	2	5.56	0	8.08	0	25.99	0	8.94	0	0	0	5.56
PRX	58702467	2	5.47	0	7.61	0	25.99	0	9.31	0	0	0	5.47
PRX	58802392	2	5.45	0	7.16	0	25.99	0	13.8	0	0	0	5.45
PRX	58902385	2	5.5	0	6.83	0	25.99	0	22.95	0	0	0	5.5
PRX	59002483	2	5.56	0	6.52	0	25.99	0	17.5	0	0	0	5.56
PRX	59102547	2	5.66	0	6.26	0	25.99	0	23.87	0	0	0	5.66
PRX	59202485	2	6.1	0	6.07	0	25.99	0	25.46	0	0	90	6.07
PRX	59302501	2	6.34	0	5.89	0	25.99	0	25.86	0	0	90	5.89
PRX	59403334	2	6.74	0	5.89	0	25.99	0	25.98	0	0	90	5.89
PRX	59502528	2	7.12	0	5.97	0	25.99	0	25.99	0	0	90	5.97
PRX	59602426	2	7.39	0	6.11	0	25.99	0	25.99	0	0	90	6.11
PRX	59702462	2	7.81	0	6.29	0	25.99	0	25.99	0	0	90	6.29
PRX	59802346	2	8.23	0	6.52	0	25.99	0	25.99	0	0	90	6.52
PRX	59902426	2	8.66	0	6.82	0	25.99	0	25.99	0	0	90	6.82
PRX	60002451	2	9.19	0	7.23	0	25.99	0	20.84	0	0	90	7.23
PRX	60102485	2	9.49	0	7.6	0	25.99	0	24.71	0	0	90	7.6
PRX	60202364	2	9.72	0	8.23	0	25.99	0	25.83	0	0	90	8.23
PRX	60302498	2	9.99	0	21.55	0	25.99	0	25.95	0	0	0	9.99
PRX	60402565	2	10.32	0	12.38	0	24.22	0	11.93	0	0	0	10.32
PRX	60502763	2	10.46	0	22.59	0	25.55	0	8.23	0	0	270	8.23
PRX	60603676	2	10.53	0	25.14	0	25.88	0	6.79	0	0	270	6.79
PRX	60702495	2	10.54	0	18.35	0	25.97	0	6.15	0	0	270	6.15
PRX	60802453	2	10.42	0	21.44	0	25.99	0	5.63	0	0	270	5.63
