FMT	254	47	NKT1	QIffffffff	TimeUS	Cnt	IMUMin	IMUMax	EKFMin	EKFMax	AngMin	AngMax	VelMin	VelM
IMU	46542223	0.0008246166	-0.000459754	-0.001517317	0.11616	0.1023942	-9.793159	0	0	34.61137	1	1	999	999
IMU	46582101	-1.08E-05	4.84E-07	0.006530792	0.1097433	0.1904006	-9.813715	0	0	34.61244	1	1	999	999
IMU	46622031	0.002558318	0.0007208369	-0.00832388	0.114523	0.07228021	-9.83539	0	0	34.61325	1	1	999	999
IMU	46662002	-0.001039	-0.0002781763	0.006064094	0.1170146	-0.004641961	-9.845486	0	0	34.61388	1	1	999	999
IMU	46702403	-0.0004656677	0.001806175	0.0034192	0.04734689	-0.1973953	-9.840183	0	0	34.61371	1	1	999	999
IMU	46742226	0.0007723076	0.003747454	-0.02581152	0.01200834	0.06360442	-9.776223	0	0	34.61371	1	1	999	999
IMU	46782027	-0.0005051508	-0.002898863	0.01841248	0.02859334	-0.02576178	-9.823606	0	0	34.61412	1	1	999	999
IMU	46822237	-0.0006158371	-0.0006638815	-0.009343433	0.3382422	0.3979473	-9.607857	0	0	34.61458	1	1	999	999
IMU	46862208	0.0005878391	0.003107895	-0.01344558	-0.1716288	0.3583286	-9.983255	0	0	34.61507	1	1	999	999
IMU	46902434	-0.004831055	-0.000240847	0.01914795	0.06199668	0.2454891	-9.77652	0	0	34.61526	1	1	999	999
IMU	46942214	0.001326947	-0.001086361	-0.03315743	-0.1152369	0.07382866	-9.778818	0	0	34.61543	1	1	999	999
IMU	46982044	-0.0003059386	-0.002139883	0.03655902	-0.02271463	0.08929322	-9.818294	0	0	34.61541	1	1	999	999
IMU	47022081	-0.000248038	-0.003753495	0.006585215	-0.08577993	0.02090757	-9.916948	0	0	34.61541	1	1	999	999
IMU	47062005	0.003135062	-0.002949993	-0.002849908	0.003515284	0.09618441	-9.87602	0	0	34.61543	1	1	999	999
IMU	47102818	0.001223001	0.003894844	0.003728737	0.2135749	0.1018439	-9.747152	0	0	34.61536	1	1	999	999
IMU	47142258	-0.002613693	0.0048994	0.006938592	-0.09651843	0.127836	-9.781834	0	0	34.61536	1	1	999	999
IMU	47182258	-0.003482042	0.003260195	0.003792556	-0.0555011	-0.03724355	-9.799191	0	0	34.61536	1	1	999	999
IMU	47222397	-0.00230367	0.002070653	-0.005349446	-0.08272555	0.05829564	-9.833989	0	0	34.61536	1	1	999	999
IMU	47262207	0.003612217	-0.001495883	-0.01149138	-0.008268541	0.008483159	-9.85503	0	0	34.61504	1	1	999	999
IMU	47302611	0.002812827	0.002077305	-0.005233616	-0.02047104	0.1355554	-9.866613	0	0	34.61414	1	1	999	999
IMU	47342206	0.001382291	0.0004359091	0.00436564	-0.314157	-0.008190572	-9.882125	0	0	34.61302	1	1	999	999
IMU	47382113	-0.003826702	0.0004207017	0.003588176	0.2108409	-0.08743503	-9.921206	0	0	34.61028	1	1	999	999
IMU	47422200	-0.002127412	-0.005540549	0.002357297	0.4753508	-0.2429084	-9.826362	0	0	34.60561	1	1	999	999
IMU	47462262	-0.000242253	-0.004736458	0.0006987536	0.3837203	0.08167616	-9.753782	0	0	34.59929	1	1	999	999
IMU	47502522	0.002559208	0.005462796	-0.005416571	-0.3426149	0.3116206	-9.761095	0	0	34.59045	1	1	999	999
IMU	47542204	-0.001903386	0.003203204	-0.001340946	-0.1786987	-0.03716151	-9.62297	0	0	34.57999	1	1	999	999
IMU	47582128	-0.001944072	-0.00653385	0.006728773	0.4054149	-0.01968129	-9.958817	0	0	34.56855	1	1	999	999
