	Lab 3 output:

straight time is 10000 and turn time is 2000 
x = 1.008916  y = 0.040052 
x = 1.008916  y = 0.040052 
x = 1.009007  y = 0.040048 
x = 1.009009  y = 0.040048 
x = 1.009009  y = 0.040048 
x = 1.009010  y = 0.040048 
x = 1.009011  y = 0.040047 
x = 1.009011  y = 0.040047 
x = 1.008928  y = 0.040051 
x = 1.010102  y = 0.036622 
x = 1.012062  y = 0.030233 
x = 1.014535  y = 0.021887 
x = 1.014535  y = 0.021887 
x = 1.016447  y = 0.015321 
x = 1.018475  y = 0.007917 
x = 1.018475  y = 0.007917 
x = 1.020526  y = 0.000180 
x = 1.022269  y = -0.006759 
x = 1.022269  y = -0.006759 
x = 1.024134  y = -0.014537 
x = 1.025753  y = -0.021629 
x = 1.025753  y = -0.021629 
x = 1.027412  y = -0.029238 
x = 1.028995  y = -0.036887 
x = 1.030412  y = -0.044073 
x = 1.030412  y = -0.044073 
x = 1.031883  y = -0.051922 
x = 1.033170  y = -0.059152 
x = 1.034479  y = -0.066875 
x = 1.034479  y = -0.066875 
x = 1.035724  y = -0.074616 
x = 1.036836  y = -0.081895 
x = 1.036836  y = -0.081895 
x = 1.037990  y = -0.089834 
x = 1.038949  y = -0.096800 
x = 1.038949  y = -0.096800 
x = 1.040052  y = -0.104839 
x = 1.041019  y = -0.112377 
x = 1.041019  y = -0.112377 
x = 1.042856  y = -0.127810 
x = 1.042856  y = -0.127810 
x = 1.043663  y = -0.135130 
x = 1.044487  y = -0.142981 
x = 1.044487  y = -0.142981 
x = 1.045268  y = -0.150822 
x = 1.045966  y = -0.158193 
x = 1.045966  y = -0.158193 
x = 1.046689  y = -0.166225 
x = 1.047320  y = -0.173605 
x = 1.047961  y = -0.181477 
x = 1.047961  y = -0.181477 
x = 1.048570  y = -0.189353 
x = 1.048570  y = -0.189353 
x = 1.049113  y = -0.196748 
x = 1.049675  y = -0.204803 
x = 1.050238  y = -0.212155 
x = 1.050694  y = -0.220217 
x = 1.050694  y = -0.220217 
x = 1.051175  y = -0.227968 
x = 1.051617  y = -0.235415 
x = 1.051617  y = -0.235415 
x = 1.052073  y = -0.243509 
x = 1.052470  y = -0.250903 
x = 1.052873  y = -0.258813 
x = 1.052873  y = -0.258813 
x = 1.053257  y = -0.266717 
x = 1.053257  y = -0.266717 
x = 1.053666  y = -0.274017 
x = 1.053940  y = -0.281742 
x = 1.054289  y = -0.289311 
x = 1.054641  y = -0.297301 
x = 1.054641  y = -0.297301 
x = 1.054968  y = -0.305095 
x = 1.055266  y = -0.312565 
x = 1.055266  y = -0.312565 
x = 1.055574  y = -0.320647 
x = 1.055842  y = -0.328072 
x = 1.056114  y = -0.335993 
x = 1.056114  y = -0.335993 
x = 1.056373  y = -0.343908 
x = 1.056373  y = -0.343908 
x = 1.056673  y = -0.351219 
x = 1.056839  y = -0.358999 
x = 1.057068  y = -0.366422 
x = 1.057328  y = -0.374501 
x = 1.057575  y = -0.382171 
x = 1.057575  y = -0.382171 
x = 1.057828  y = -0.389609 
x = 1.057828  y = -0.389609 
x = 1.058106  y = -0.397685 
x = 1.058373  y = -0.405072 
x = 1.058373  y = -0.405072 
x = 1.058637  y = -0.412644 
x = 1.058912  y = -0.420731 
x = 1.059153  y = -0.428118 
x = 1.059153  y = -0.428118 
x = 1.059403  y = -0.436173 
x = 1.059624  y = -0.443631 
x = 1.059624  y = -0.443631 
x = 1.059847  y = -0.451544 
x = 1.060058  y = -0.459470 
x = 1.060236  y = -0.466376 
x = 1.060459  y = -0.474740 
x = 1.060459  y = -0.474740 
x = 1.060660  y = -0.482111 
x = 1.060660  y = -0.482111 
x = 1.060878  y = -0.489794 
x = 1.061120  y = -0.497884 
x = 1.061120  y = -0.497884 
x = 1.061344  y = -0.505058 
x = 1.061586  y = -0.513026 
x = 1.061818  y = -0.520391 
x = 1.062081  y = -0.528413 
x = 1.062081  y = -0.528413 
x = 1.062340  y = -0.536058 
x = 1.062583  y = -0.543335 
x = 1.062583  y = -0.543335 
x = 1.062861  y = -0.551506 
x = 1.063120  y = -0.558948 
x = 1.063120  y = -0.558948 
x = 1.063394  y = -0.566633 
x = 1.063663  y = -0.574373 
x = 1.063663  y = -0.574373 
x = 1.063923  y = -0.581849 
x = 1.064190  y = -0.589814 
x = 1.064429  y = -0.597318 
x = 1.064651  y = -0.605056 
x = 1.064651  y = -0.605056 
x = 1.064897  y = -0.612733 
x = 1.065123  y = -0.620109 
x = 1.065123  y = -0.620109 
x = 1.065382  y = -0.628325 
x = 1.065622  y = -0.635736 
x = 1.065622  y = -0.635736 
x = 1.065879  y = -0.643439 
x = 1.066156  y = -0.651479 
x = 1.066156  y = -0.651479 
x = 1.066414  y = -0.658669 
x = 1.066685  y = -0.666556 
x = 1.066936  y = -0.674085 
