PRX,64641721,2,7.51,0,6.46,0,14.43,0,9.82,0,0,90,6.46,,,,,
IMU,64660680,-0.01517241,0.001967128,-0.01067186,0.0535387,0.2487184,-9.999862,0,0,44.32414,1,1,999,999,,,,
IMU,64700782,0.0008447941,0.003747914,-0.006870677,-0.3337036,0.06947581,-9.779169,0,0,44.32396,1,1,999,999,,,,
CTUN,64740701,0,0,0,0.3065111,0.07352407,0.07352407,0.67,0,0.19,0,0,0,,,,,
ATT,64740798,0,0.29,0,-0.41,0.42,0.43,0,1,,,,,,,,,
PRX,64740925,2,7.5,0,6.48,0,14.35,0,9.8,0,0,90,6.48,,,,,
IMU,64740932,0.009684816,-0.008192797,-0.01703271,-0.3736047,0.1025702,-9.607004,0,0,44.32387,1,1,999,999,,,,
IMU,64780742,-0.01072985,-0.01131284,-0.01207375,-0.1154531,-0.4414487,-9.627342,0,0,44.3237,1,1,999,999,,,,
IMU,64821209,0.01200422,-0.007985177,0.0285791,-0.3256922,0.2923159,-9.631474,0,0,44.32201,1,1,999,999,,,,
CTUN,64840866,0,0,0,0.3065111,0.07324986,0.07324986,0.68,0,0.19,0,0,0,,,,,
ATT,64840943,0,0.28,0,-0.44,0.44,0.44,0,1,,,,,,,,,
PRX,64841139,2,7.51,0,6.51,0,14.38,0,9.85,0,0,90,6.51,,,,,
IMU,64860743,0.009001925,-0.004020462,0.01466424,-0.2017243,-0.197656,-9.746144,0,0,44.31646,1,1,999,999,,,,
IMU,64900752,-0.01056085,-0.00307013,0.0002130884,1.372052,0.0364496,-10.10991,0,0,44.3046,1,1,999,999,,,,
CTUN,64940725,0,0,0,0.3065111,0.07274365,0.07274365,0.65,0,0.19,0,0,0,,,,,
ATT,64940796,0,0.3,0,-0.46,0.43,0.43,0,1,,,,,,,,,
PRX,64940918,2,7.49,0,6.47,0,14.45,0,9.83,0,0,90,6.47,,,,,
IMU,64940925,0.002888082,-0.003542155,-0.008930728,0.7885046,0.156858,-9.665521,0,0,44.28595,1,1,999,999,,,,
IMU,64980802,0.006819479,-0.0009765417,-0.01388444,-0.7734625,-0.2524858,-9.748915,0,0,44.26015,1,1,999,999,,,,
IMU,65020812,0.0005836121,0.006788553,0.02705548,-0.1156787,-0.3284011,-9.621618,0,0,44.23324,1,1,999,999,,,,
CTUN,65040698,0,0,0,0.3065111,0.07178795,0.07178795,0.55,0,0.19,0,0,0,,,,,
ATT,65040767,0,0.3,0,-0.47,0.42,0.43,0,1,,,,,,,,,
PRX,65040889,2,7.51,0,6.49,0,14.4,0,9.82,0,0,90,6.49,,,,,
IMU,65061215,0.001717361,-0.001410802,0.006302205,0.6162308,0.2283944,-9.890474,0,0,44.20553,1,1,999,999,,,,
IMU,65100776,-0.004156813,-0.005080585,-0.01908785,0.707128,-0.1713835,-9.833252,0,0,44.17888,1,1,999,999,,,,
CTUN,65140807,0,0,0,0.3065111,0.07043521,0.07043521,0.32,0,0.19,0,0,-1,,,,,
ATT,65141051,0,0.31,0,-0.48,0.44,0.45,0,1,,,,,,,,,
